date information,vs,Score,Type,Line,O/U,Team,Game Outcome,Team Score,Opponent Score,Overtime,Spread Outcome,Spread Wins,Spread Losses,line*,O/U Outcome,Over Wins,Under Wins,Game O/U,Total Score,Game Margin,Day of Week,Date,Season,key,attendance
Sunday 01/03/16,@ Cincinnati,L 16-24,Week 17,"W
                  10","U
              40.5",Baltimore,L,16,24,0,W,1,0,10,U,0,1,40.5,40,-8,Sunday,1/3/16,2015,Week 17Baltimore2015,57254
Saturday 12/24/16,L.A. Chargers,W 20-17,Week 16,"W
                  4.5","U
              45",Cleveland,W,20,17,0,W,1,0,4.5,U,0,1,45,37,3,Saturday,12/24/16,2016,Week 16Cleveland2016,57272
Sunday 09/23/12,San Francisco,W 24-13,Week 3,"W
                  6.5","U
              42.5",Minnesota,W,24,13,0,W,1,0,6.5,U,0,1,42.5,37,11,Sunday,9/23/12,2012,Week 3Minnesota2012,57288
Sunday 10/16/11,@ Oakland,L 17-24,Week 6,"L
                  6.5","U
              44.5",Cleveland,L,17,24,0,L,0,1,6.5,U,0,1,44.5,41,-7,Sunday,10/16/11,2011,Week 6Cleveland2011,57300
Sunday 10/23/11,@ Oakland,W 28-0,Week 7,"W
                  3.5","U
              41.5",Kansas City,W,28,0,0,W,1,0,3.5,U,0,1,41.5,28,28,Sunday,10/23/11,2011,Week 7Kansas City2011,57361
Sunday 12/20/09,Green Bay,W 37-36,Week 15,"L
                  -2.5","O
              41.5",Pittsburgh,W,37,36,0,L,0,1,-2.5,O,1,0,41.5,73,1,Sunday,12/20/09,2009,Week 15Pittsburgh2009,57452
Sunday 10/04/15,Kansas City,W 36-21,Week 4,"W
                  -3.5","O
              45",Cincinnati,W,36,21,0,W,1,0,-3.5,O,1,0,45,57,15,Sunday,10/4/15,2015,Week 4Cincinnati2015,57498
Sunday 12/12/10,@ Pittsburgh,L 7-23,Week 14,"L
                  9","U
              39.5",Cincinnati,L,7,23,0,L,0,1,9,U,0,1,39.5,30,-16,Sunday,12/12/10,2010,Week 14Cincinnati2010,57501
Sunday 11/20/11,@ Miami,L 8-35,Week 11,"L
                  3","P
              43",Buffalo,L,8,35,0,L,0,1,3,P,0,0,43,43,-27,Sunday,11/20/11,2011,Week 11Buffalo2011,57531
Sunday 10/07/12,@ Minnesota,L 7-30,Week 5,"L
                  6","U
              44",Tennessee,L,7,30,0,L,0,1,6,U,0,1,44,37,-23,Sunday,10/7/12,2012,Week 5Tennessee2012,57652
